iter	Passed	Remaining
0	17	17181
1	27	13963
2	39	13082
3	50	12470
4	58	11661
5	69	11512
6	75	10721
7	82	10178
8	101	11161
9	105	10491
10	114	10306
11	121	9988
12	129	9832
13	136	9643
14	148	9723
15	155	9550
16	163	9432
17	169	9235
18	174	9019
19	179	8800
20	185	8632
21	191	8517
22	198	8424
23	205	8366
24	215	8414
25	220	8266
26	226	8160
27	231	8039
28	237	7940
29	243	7873
30	250	7831
31	258	7813
32	264	7754
33	270	7683
34	276	7636
35	283	7596
36	290	7548
37	297	7535
38	305	7538
39	313	7513
40	319	7475
41	325	7427
42	333	7419
43	340	7408
44	350	7448
45	358	7441
46	369	7493
47	380	7537
48	390	7574
49	400	7604
50	411	7649
51	420	7668
52	429	7682
53	437	7672
54	447	7684
55	457	7716
56	465	7704
57	474	7708
58	482	7688
59	489	7674
60	502	7737
61	506	7669
62	514	7654
63	521	7630
64	528	7601
65	533	7552
66	540	7533
67	549	7525
68	556	7506
69	563	7490
70	569	7454
71	575	7418
72	583	7405
73	588	7369
74	594	7334
75	601	7307
76	606	7275
77	613	7247
78	619	7216
79	626	7199
80	631	7165
81	640	7165
82	649	7179
83	658	7183
84	664	7150
85	669	7119
86	677	7105
87	682	7068
88	687	7039
89	693	7015
90	698	6981
91	703	6944
92	709	6924
93	715	6893
94	720	6866
95	726	6844
96	733	6829
97	739	6803
98	745	6782
99	758	6828
100	768	6842
101	778	6851
102	784	6836
103	792	6831
104	799	6812
105	807	6808
106	813	6785
107	819	6767
108	826	6754
109	834	6752
110	839	6724
111	844	6696
112	850	6676
113	859	6677
114	865	6658
115	871	6642
116	877	6625
117	885	6618
118	890	6593
119	896	6572
120	901	6550
121	908	6539
122	916	6536
123	922	6514
124	929	6504
125	935	6490
126	941	6469
127	949	6467
128	954	6444
129	959	6419
130	965	6402
131	970	6381
132	976	6367
133	985	6366
134	989	6341
135	994	6317
136	1000	6303
137	1005	6281
138	1011	6262
139	1015	6239
140	1022	6229
141	1031	6233
142	1037	6218
143	1043	6203
144	1049	6188
145	1054	6167
146	1060	6154
147	1066	6141
148	1072	6127
149	1079	6116
150	1085	6101
151	1090	6083
152	1096	6069
153	1101	6049
154	1110	6053
155	1115	6036
156	1120	6017
157	1126	6000
158	1133	5994
159	1138	5975
160	1148	5985
161	1154	5973
162	1160	5958
163	1166	5943
164	1172	5932
165	1177	5917
166	1182	5900
167	1188	5886
168	1194	5874
169	1199	5855
170	1204	5838
171	1210	5829
172	1215	5810
173	1220	5796
174	1225	5777
175	1231	5767
176	1238	5756
177	1244	5745
178	1248	5726
179	1253	5712
180	1259	5698
181	1266	5693
182	1271	5675
183	1276	5661
184	1281	5646
185	1286	5632
186	1291	5616
187	1297	5604
188	1302	5590
189	1308	5579
190	1315	5570
191	1322	5563
192	1328	5556
193	1334	5543
194	1340	5534
195	1345	5521
196	1350	5505
197	1356	5493
198	1360	5477
199	1365	5463
200	1372	5454
201	1376	5436
202	1381	5425
203	1386	5411
204	1392	5399
205	1397	5386
206	1404	5378
207	1408	5364
208	1417	5363
209	1422	5350
210	1427	5338
211	1433	5329
212	1441	5326
213	1451	5329
214	1457	5322
215	1465	5318
216	1473	5316
217	1479	5308
218	1485	5298
219	1492	5293
220	1499	5285
221	1505	5275
222	1513	5275
223	1522	5275
224	1528	5266
225	1534	5254
226	1542	5251
227	1550	5248
228	1555	5237
229	1560	5224
230	1568	5220
231	1574	5210
232	1584	5215
233	1591	5210
234	1598	5204
235	1606	5200
236	1613	5193
237	1620	5188
238	1630	5191
239	1643	5203
240	1650	5198
241	1664	5213
242	1673	5214
243	1678	5201
244	1688	5202
245	1694	5194
246	1700	5184
247	1710	5186
248	1719	5187
249	1728	5184
250	1737	5183
251	1745	5181
252	1752	5175
253	1758	5165
254	1764	5155
255	1769	5143
256	1775	5132
257	1779	5119
258	1788	5115
259	1794	5107
260	1800	5096
261	1805	5086
262	1811	5075
263	1816	5064
264	1822	5055
265	1830	5051
266	1836	5043
267	1842	5033
268	1848	5023
269	1853	5012
270	1857	4997
271	1862	4986
272	1871	4984
273	1876	4972
274	1881	4960
275	1886	4949
276	1893	4942
277	1900	4935
278	1908	4931
279	1913	4920
280	1918	4908
281	1925	4901
282	1931	4893
283	1936	4881
284	1940	4869
285	1947	4861
286	1951	4849
287	1957	4840
288	1963	4830
289	1969	4821
290	1977	4817
291	1984	4812
292	1990	4803
293	1996	4795
294	2002	4785
295	2008	4776
296	2015	4771
297	2020	4759
298	2027	4754
299	2035	4749
300	2041	4741
301	2047	4731
302	2054	4725
303	2060	4716
304	2068	4713
305	2074	4704
306	2078	4691
307	2082	4679
308	2092	4678
309	2097	4669
310	2103	4659
311	2109	4651
312	2114	4641
313	2120	4633
314	2126	4624
315	2133	4617
316	2138	4608
317	2144	4598
318	2150	4589
319	2154	4578
320	2158	4566
321	2165	4560
322	2170	4549
323	2174	4537
324	2181	4529
325	2187	4522
326	2193	4514
327	2199	4505
328	2205	4497
329	2211	4490
330	2217	4481
331	2224	4474
332	2228	4464
333	2234	4456
334	2239	4446
335	2247	4440
336	2255	4437
337	2264	4434
338	2269	4424
339	2274	4415
340	2281	4409
341	2290	4407
342	2298	4402
343	2308	4402
344	2317	4399
345	2328	4400
346	2335	4395
347	2345	4395
348	2357	4397
349	2369	4400
350	2380	4401
351	2388	4397
352	2399	4397
353	2407	4392
354	2415	4388
355	2426	4390
356	2437	4389
357	2446	4387
358	2456	4386
359	2469	4390
360	2479	4388
361	2488	4385
362	2499	4386
363	2506	4380
364	2515	4376
365	2524	4372
366	2533	4369
367	2540	4362
368	2547	4356
369	2553	4348
370	2560	4340
371	2567	4333
372	2576	4330
373	2585	4327
374	2592	4320
375	2598	4311
376	2602	4301
377	2610	4296
378	2617	4289
379	2622	4279
380	2628	4271
381	2633	4260
382	2638	4250
383	2645	4244
384	2657	4244
385	2666	4242
386	2673	4234
387	2679	4226
388	2686	4220
389	2693	4212
390	2697	4202
391	2702	4192
392	2710	4186
393	2720	4184
394	2725	4174
395	2731	4165
396	2736	4155
397	2741	4146
398	2747	4138
399	2752	4129
400	2759	4121
401	2764	4112
402	2769	4102
403	2774	4093
404	2779	4083
405	2785	4074
406	2792	4068
407	2800	4064
408	2805	4053
409	2811	4045
410	2817	4037
411	2826	4033
412	2833	4026
413	2838	4017
414	2844	4009
415	2849	4000
416	2855	3992
417	2861	3983
418	2866	3974
419	2872	3966
420	2878	3958
421	2884	3950
422	2894	3948
423	2901	3941
424	2908	3934
425	2914	3927
426	2924	3924
427	2933	3920
428	2944	3918
429	2952	3913
430	2963	3912
431	2971	3906
432	2979	3901
433	2989	3899
434	3000	3897
435	3007	3890
436	3015	3885
437	3021	3877
438	3027	3868
439	3034	3862
440	3040	3853
441	3046	3845
442	3054	3839
443	3059	3830
444	3064	3821
445	3069	3812
446	3074	3804
447	3080	3796
448	3085	3786
449	3090	3777
450	3096	3769
451	3102	3762
452	3108	3754
453	3115	3747
454	3121	3738
455	3128	3732
456	3135	3725
457	3141	3717
458	3146	3708
459	3151	3700
460	3156	3690
461	3161	3681
462	3170	3677
463	3176	3669
464	3182	3661
465	3188	3653
466	3193	3645
467	3199	3636
468	3204	3628
469	3211	3621
470	3219	3616
471	3225	3608
472	3231	3599
473	3236	3591
474	3242	3583
475	3249	3576
476	3254	3568
477	3260	3560
478	3265	3551
479	3271	3543
480	3275	3534
481	3283	3528
482	3288	3519
483	3294	3512
484	3300	3504
485	3306	3496
486	3314	3491
487	3322	3485
488	3329	3479
489	3335	3471
490	3342	3464
491	3347	3456
492	3352	3448
493	3358	3440
494	3363	3431
495	3371	3426
496	3378	3419
497	3385	3412
498	3391	3404
499	3396	3396
500	3403	3389
501	3410	3383
502	3419	3379
503	3427	3373
504	3433	3365
505	3439	3357
506	3448	3353
507	3453	3344
508	3457	3335
509	3463	3327
510	3469	3320
511	3476	3313
512	3481	3305
513	3493	3302
514	3499	3296
515	3509	3291
516	3520	3289
517	3526	3281
518	3533	3274
519	3538	3266
520	3546	3260
521	3553	3253
522	3557	3244
523	3564	3237
524	3569	3229
525	3574	3221
526	3580	3213
527	3585	3205
528	3591	3197
529	3596	3189
530	3602	3182
531	3610	3176
532	3618	3170
533	3624	3163
534	3632	3156
535	3639	3150
536	3648	3145
537	3654	3138
538	3661	3131
539	3667	3124
540	3673	3116
541	3678	3108
542	3684	3101
543	3691	3094
544	3697	3087
545	3703	3079
546	3709	3071
547	3715	3064
548	3721	3056
549	3731	3052
550	3738	3046
