iter	Passed	Remaining
0	37	37228
1	69	34900
2	97	32471
3	130	32427
4	161	32152
5	192	31957
6	219	31129
7	248	30762
8	279	30798
9	308	30502
10	336	30289
11	376	30988
12	400	30432
13	430	30321
14	467	30682
15	496	30563
16	531	30743
17	571	31171
18	606	31335
19	636	31177
20	663	30946
21	692	30779
22	719	30579
23	751	30548
24	776	30274
25	798	29905
26	825	29750
27	853	29625
28	876	29335
29	905	29264
30	931	29115
31	956	28944
32	983	28812
33	1018	28924
34	1053	29055
35	1084	29052
36	1116	29067
37	1148	29087
38	1179	29064
39	1206	28946
40	1232	28827
41	1255	28638
42	1290	28717
43	1315	28590
44	1342	28482
45	1378	28590
46	1404	28488
47	1426	28300
48	1449	28130
49	1478	28089
50	1501	27943
51	1529	27876
52	1560	27890
53	1582	27718
54	1611	27685
55	1638	27623
56	1667	27593
57	1696	27558
58	1725	27522
59	1747	27370
60	1774	27320
61	1804	27306
62	1830	27224
63	1865	27281
64	1902	27366
65	1939	27439
66	1965	27365
67	1986	27221
68	2019	27246
69	2051	27250
70	2078	27195
71	2109	27188
72	2137	27139
73	2166	27105
74	2183	26935
75	2211	26884
76	2239	26850
77	2262	26739
78	2291	26711
79	2317	26648
80	2336	26510
81	2355	26364
82	2385	26351
83	2407	26258
84	2433	26197
85	2458	26130
86	2474	25966
87	2501	25925
88	2519	25786
89	2545	25738
90	2572	25697
91	2589	25560
92	2615	25506
93	2632	25376
94	2664	25386
95	2684	25279
96	2712	25253
97	2737	25197
98	2756	25086
99	2780	25027
100	2804	24963
101	2830	24918
102	2847	24800
103	2864	24679
104	2884	24588
105	2902	24478
106	2930	24456
107	2958	24437
108	2984	24399
109	3002	24293
110	3030	24272
111	3053	24206
112	3076	24148
113	3097	24073
114	3136	24138
115	3154	24036
116	3172	23939
117	3194	23879
118	3217	23818
119	3234	23718
120	3265	23719
121	3283	23630
122	3300	23530
123	3322	23473
124	3339	23373
125	3366	23350
126	3394	23332
127	3422	23318
128	3439	23222
129	3459	23149
130	3486	23130
131	3502	23033
132	3520	22947
133	3537	22863
134	3555	22782
135	3576	22722
136	3602	22692
137	3622	22630
138	3640	22549
139	3673	22566
140	3691	22492
141	3708	22410
142	3731	22365
